id_produto;produto;ano;quantidade_com_rs
vinho de mesa;vinho de mesa;1970;98327606
vm_tinto;tinto;1970;83300735
vm_rosado;rosado;1970;107681
vm_branco;branco;1970;14919190
vinho  fino de mesa;vinho  fino de mesa;1970;4430629
vm_tinto;tinto;1970;435354
vm_rosado;rosado;1970;183234
vm_branco;branco;1970;3812041
vinho frizante;vinho frizante;1970;466480
vinho orgânico;vinho orgânico;1970;0
vinho especial;vinho especial;1970;7325789
ve_tinto;tinto;1970;4730346
ve_rosado;rosado;1970;1229564
ve_branco;branco;1970;1365879
espumantes;espumantes;1970;2743678
es_espumante_moscatel;espumante  moscatel;1970;0
es_espumante;espumante;1970;0
es_espumante orgânico;espumante orgânico;1970;0
suco de uvas;suco de uvas;1970;2626855
su_suco_natural;suco natural integral;1970;0
su_suco_reprocessado;suco reprocessado/reconstituido;1970;0
su_suco_orgânico;suco orgânico;1970;0
su_outros_sucos;outros sucos de uvas;1970;0
suco de uvas concentrado;suco de uvas concentrado;1970;0
outros produtos comercializados;outros produtos comercializados;1970;19844550
ou_outros vinhos (sem informdetalhada;outros vinhos (sem informação detalhada);1970;0
ou_agrin;agrin (fermentado, acetico misto);1970;0
ou_aguardente;aguardente de vinho 50°gl;1970;0
ou_alcool_vinico;alcool vinico;1970;0
ou_bagaceira;bagaceira (graspa);1970;1192987
ou_base_champenoise;base champenoise champanha;1970;0
ou_base_charmat;base charmat champanha;1970;0
ou_base_espumante;base espumante moscatel;1970;0
ou_bebida;bebida de uva;1970;0
ou_borra_liqwuida;borra líquida;1970;0
ou_borra_seca;borra seca;1970;0
ou_brandy;brandy (conhaque);1970;9388296
ou_cooler;cooler;1970;0
ou_coquetel;coquetel com vinho;1970;0
ou_destilado;destilado de vinho;1970;533987
ou_filtrado_doce;filtrado doce;1970;346403
ou_jeropiga;jeropiga;1970;0
ou_mistelas;mistelas;1970;178350
ou_mosto_concentrado;mosto concentrado;1970;44971
ou_mosto_uva;mosto de uva;1970;0
ou_mosto_sulfitado;mosto sulfitado;1970;401030
ou_nectar;nectar de uva;1970;0
ou_outros_produtos;outros produtos;1970;0
ou_polpa;polpa de uva;1970;0
ou_preparado_líquido;preparado líquido para refresco;1970;0
ou_refrigerante;refrigerante +50% suco;1970;0
ou_sangria;sangria;1970;0
ou_vinagre_balsamico;vinagre balsamico;1970;0
ou_vinagre_duplo;vinagre duplo;1970;0
ou_vinagre_simples;vinagre simples;1970;1359297
ou_vinho_acetificado;vinho acetificado;1970;0
ou_vinho_base;vinho base para espumantes;1970;0
ou_vinho_composto;vinho composto;1970;3386173
ou_vinho_licoroso;vinho licoroso;1970;3013056
ou_vinho_leve;vinho leve;1970;0
ou_vinho_gaseificado;vinho gaseificado;1970;0
vinho de mesa;vinho de mesa;1971;114399031
vm_tinto;tinto;1971;98522869
vm_rosado;rosado;1971;542274
vm_branco;branco;1971;15333888
vinho  fino de mesa;vinho  fino de mesa;1971;4840369
vm_tinto;tinto;1971;428927
vm_rosado;rosado;1971;227299
vm_branco;branco;1971;4184143
vinho frizante;vinho frizante;1971;358116
vinho orgânico;vinho orgânico;1971;0
vinho especial;vinho especial;1971;7824931
ve_tinto;tinto;1971;4802828
ve_rosado;rosado;1971;1662821
ve_branco;branco;1971;1359282
espumantes;espumantes;1971;2907289
es_espumante_moscatel;espumante  moscatel;1971;0
es_espumante;espumante;1971;0
es_espumante orgânico;espumante orgânico;1971;0
suco de uvas;suco de uvas;1971;2745249
su_suco_natural;suco natural integral;1971;0
su_suco_reprocessado;suco reprocessado/reconstituido;1971;0
su_suco_orgânico;suco orgânico;1971;0
su_outros_sucos;outros sucos de uvas;1971;0
suco de uvas concentrado;suco de uvas concentrado;1971;0
outros produtos comercializados;outros produtos comercializados;1971;20351384
ou_outros vinhos (sem informdetalhada;outros vinhos (sem informação detalhada);1971;0
ou_agrin;agrin (fermentado, acetico misto);1971;0
ou_aguardente;aguardente de vinho 50°gl;1971;0
ou_alcool_vinico;alcool vinico;1971;0
ou_bagaceira;bagaceira (graspa);1971;1111014
ou_base_champenoise;base champenoise champanha;1971;0
ou_base_charmat;base charmat champanha;1971;0
ou_base_espumante;base espumante moscatel;1971;0
ou_bebida;bebida de uva;1971;0
ou_borra_liqwuida;borra líquida;1971;0
ou_borra_seca;borra seca;1971;0
ou_brandy;brandy (conhaque);1971;9893167
ou_cooler;cooler;1971;0
ou_coquetel;coquetel com vinho;1971;0
ou_destilado;destilado de vinho;1971;1023876
ou_filtrado_doce;filtrado doce;1971;432991
ou_jeropiga;jeropiga;1971;0
ou_mistelas;mistelas;1971;81510
ou_mosto_concentrado;mosto concentrado;1971;20502
ou_mosto_uva;mosto de uva;1971;0
ou_mosto_sulfitado;mosto sulfitado;1971;410850
ou_nectar;nectar de uva;1971;0
ou_outros_produtos;outros produtos;1971;0
ou_polpa;polpa de uva;1971;0
ou_preparado_líquido;preparado líquido para refresco;1971;0
ou_refrigerante;refrigerante +50% suco;1971;0
ou_sangria;sangria;1971;0
ou_vinagre_balsamico;vinagre balsamico;1971;0
ou_vinagre_duplo;vinagre duplo;1971;0
ou_vinagre_simples;vinagre simples;1971;1256068
ou_vinho_acetificado;vinho acetificado;1971;0
ou_vinho_base;vinho base para espumantes;1971;0
ou_vinho_composto;vinho composto;1971;3645774
ou_vinho_licoroso;vinho licoroso;1971;2475632
ou_vinho_leve;vinho leve;1971;0
ou_vinho_gaseificado;vinho gaseificado;1971;0
vinho de mesa;vinho de mesa;1972;118377367
vm_tinto;tinto;1972;101167932
vm_rosado;rosado;1972;7770851
vm_branco;branco;1972;9438584
vinho  fino de mesa;vinho  fino de mesa;1972;5602091
vm_tinto;tinto;1972;624499
vm_rosado;rosado;1972;403664
vm_branco;branco;1972;4573928
vinho frizante;vinho frizante;1972;356340
vinho orgânico;vinho orgânico;1972;0
vinho especial;vinho especial;1972;8737605
ve_tinto;tinto;1972;4347706
ve_rosado;rosado;1972;1901801
ve_branco;branco;1972;2488098
espumantes;espumantes;1972;3523335
es_espumante_moscatel;espumante  moscatel;1972;0
es_espumante;espumante;1972;0
es_espumante orgânico;espumante orgânico;1972;0
suco de uvas;suco de uvas;1972;4069351
su_suco_natural;suco natural integral;1972;0
su_suco_reprocessado;suco reprocessado/reconstituido;1972;0
su_suco_orgânico;suco orgânico;1972;0
su_outros_sucos;outros sucos de uvas;1972;0
suco de uvas concentrado;suco de uvas concentrado;1972;59044
outros produtos comercializados;outros produtos comercializados;1972;23615205
ou_outros vinhos (sem informdetalhada;outros vinhos (sem informação detalhada);1972;0
ou_agrin;agrin (fermentado, acetico misto);1972;0
ou_aguardente;aguardente de vinho 50°gl;1972;0
ou_alcool_vinico;alcool vinico;1972;0
ou_bagaceira;bagaceira (graspa);1972;1059696
ou_base_champenoise;base champenoise champanha;1972;0
ou_base_charmat;base charmat champanha;1972;0
ou_base_espumante;base espumante moscatel;1972;0
ou_bebida;bebida de uva;1972;0
ou_borra_liqwuida;borra líquida;1972;0
ou_borra_seca;borra seca;1972;0
ou_brandy;brandy (conhaque);1972;11876098
ou_cooler;cooler;1972;0
ou_coquetel;coquetel com vinho;1972;0
ou_destilado;destilado de vinho;1972;1573023
ou_filtrado_doce;filtrado doce;1972;670626
ou_jeropiga;jeropiga;1972;0
ou_mistelas;mistelas;1972;133865
ou_mosto_concentrado;mosto concentrado;1972;0
ou_mosto_uva;mosto de uva;1972;0
ou_mosto_sulfitado;mosto sulfitado;1972;447600
ou_nectar;nectar de uva;1972;0
ou_outros_produtos;outros produtos;1972;0
ou_polpa;polpa de uva;1972;0
ou_preparado_líquido;preparado líquido para refresco;1972;0
ou_refrigerante;refrigerante +50% suco;1972;0
ou_sangria;sangria;1972;0
ou_vinagre_balsamico;vinagre balsamico;1972;0
ou_vinagre_duplo;vinagre duplo;1972;0
ou_vinagre_simples;vinagre simples;1972;1524908
ou_vinho_acetificado;vinho acetificado;1972;0
ou_vinho_base;vinho base para espumantes;1972;0
ou_vinho_composto;vinho composto;1972;3921573
ou_vinho_licoroso;vinho licoroso;1972;2407816
ou_vinho_leve;vinho leve;1972;0
ou_vinho_gaseificado;vinho gaseificado;1972;0
vinho de mesa;vinho de mesa;1973;116617910
vm_tinto;tinto;1973;98196747
vm_rosado;rosado;1973;8425617
vm_branco;branco;1973;9995546
vinho  fino de mesa;vinho  fino de mesa;1973;7202830
vm_tinto;tinto;1973;783508
vm_rosado;rosado;1973;1377333
vm_branco;branco;1973;5041989
vinho frizante;vinho frizante;1973;327865
vinho orgânico;vinho orgânico;1973;0
vinho especial;vinho especial;1973;9693953
ve_tinto;tinto;1973;5017487
ve_rosado;rosado;1973;2062011
ve_branco;branco;1973;2614455
espumantes;espumantes;1973;3625230
es_espumante_moscatel;espumante  moscatel;1973;0
es_espumante;espumante;1973;0
es_espumante orgânico;espumante orgânico;1973;0
suco de uvas;suco de uvas;1973;5668991
su_suco_natural;suco natural integral;1973;0
su_suco_reprocessado;suco reprocessado/reconstituido;1973;0
su_suco_orgânico;suco orgânico;1973;0
su_outros_sucos;outros sucos de uvas;1973;0
suco de uvas concentrado;suco de uvas concentrado;1973;1951966
outros produtos comercializados;outros produtos comercializados;1973;25401454
ou_outros vinhos (sem informdetalhada;outros vinhos (sem informação detalhada);1973;0
ou_agrin;agrin (fermentado, acetico misto);1973;0
ou_aguardente;aguardente de vinho 50°gl;1973;0
ou_alcool_vinico;alcool vinico;1973;0
ou_bagaceira;bagaceira (graspa);1973;997624
ou_base_champenoise;base champenoise champanha;1973;0
ou_base_charmat;base charmat champanha;1973;0
ou_base_espumante;base espumante moscatel;1973;0
ou_bebida;bebida de uva;1973;0
ou_borra_liqwuida;borra líquida;1973;0
ou_borra_seca;borra seca;1973;0
ou_brandy;brandy (conhaque);1973;12156057
ou_cooler;cooler;1973;0
ou_coquetel;coquetel com vinho;1973;0
ou_destilado;destilado de vinho;1973;1485567
ou_filtrado_doce;filtrado doce;1973;837970
ou_jeropiga;jeropiga;1973;0
ou_mistelas;mistelas;1973;160470
ou_mosto_concentrado;mosto concentrado;1973;0
ou_mosto_uva;mosto de uva;1973;0
ou_mosto_sulfitado;mosto sulfitado;1973;1724244
ou_nectar;nectar de uva;1973;0
ou_outros_produtos;outros produtos;1973;0
ou_polpa;polpa de uva;1973;0
ou_preparado_líquido;preparado líquido para refresco;1973;0
ou_refrigerante;refrigerante +50% suco;1973;0
ou_sangria;sangria;1973;0
ou_vinagre_balsamico;vinagre balsamico;1973;0
ou_vinagre_duplo;vinagre duplo;1973;0
ou_vinagre_simples;vinagre simples;1973;1426737
ou_vinho_acetificado;vinho acetificado;1973;0
ou_vinho_base;vinho base para espumantes;1973;0
ou_vinho_composto;vinho composto;1973;4168841
ou_vinho_licoroso;vinho licoroso;1973;2443944
ou_vinho_leve;vinho leve;1973;0
ou_vinho_gaseificado;vinho gaseificado;1973;0
vinho de mesa;vinho de mesa;1974;94173324
vm_tinto;tinto;1974;77167303
vm_rosado;rosado;1974;8891367
vm_branco;branco;1974;8114654
vinho  fino de mesa;vinho  fino de mesa;1974;7571802
vm_tinto;tinto;1974;1616144
vm_rosado;rosado;1974;1725564
vm_branco;branco;1974;4230094
vinho frizante;vinho frizante;1974;270641
vinho orgânico;vinho orgânico;1974;0
vinho especial;vinho especial;1974;7638484
ve_tinto;tinto;1974;3763509
ve_rosado;rosado;1974;1989341
ve_branco;branco;1974;1885634
espumantes;espumantes;1974;3442734
es_espumante_moscatel;espumante  moscatel;1974;0
es_espumante;espumante;1974;0
es_espumante orgânico;espumante orgânico;1974;0
suco de uvas;suco de uvas;1974;4673891
su_suco_natural;suco natural integral;1974;0
su_suco_reprocessado;suco reprocessado/reconstituido;1974;0
su_suco_orgânico;suco orgânico;1974;0
su_outros_sucos;outros sucos de uvas;1974;0
suco de uvas concentrado;suco de uvas concentrado;1974;1619428
outros produtos comercializados;outros produtos comercializados;1974;24530878
ou_outros vinhos (sem informdetalhada;outros vinhos (sem informação detalhada);1974;0
ou_agrin;agrin (fermentado, acetico misto);1974;0
ou_aguardente;aguardente de vinho 50°gl;1974;0
ou_alcool_vinico;alcool vinico;1974;0
ou_bagaceira;bagaceira (graspa);1974;839441
ou_base_champenoise;base champenoise champanha;1974;0
ou_base_charmat;base charmat champanha;1974;0
ou_base_espumante;base espumante moscatel;1974;0
ou_bebida;bebida de uva;1974;0
ou_borra_liqwuida;borra líquida;1974;0
ou_borra_seca;borra seca;1974;0
ou_brandy;brandy (conhaque);1974;12885577
ou_cooler;cooler;1974;0
ou_coquetel;coquetel com vinho;1974;0
ou_destilado;destilado de vinho;1974;1409986
ou_filtrado_doce;filtrado doce;1974;1039110
ou_jeropiga;jeropiga;1974;0
ou_mistelas;mistelas;1974;45878
ou_mosto_concentrado;mosto concentrado;1974;761417
ou_mosto_uva;mosto de uva;1974;0
ou_mosto_sulfitado;mosto sulfitado;1974;239200
ou_nectar;nectar de uva;1974;0
ou_outros_produtos;outros produtos;1974;0
ou_polpa;polpa de uva;1974;0
ou_preparado_líquido;preparado líquido para refresco;1974;0
ou_refrigerante;refrigerante +50% suco;1974;0
ou_sangria;sangria;1974;0
ou_vinagre_balsamico;vinagre balsamico;1974;0
ou_vinagre_duplo;vinagre duplo;1974;0
ou_vinagre_simples;vinagre simples;1974;1717666
ou_vinho_acetificado;vinho acetificado;1974;0
ou_vinho_base;vinho base para espumantes;1974;0
ou_vinho_composto;vinho composto;1974;3670736
ou_vinho_licoroso;vinho licoroso;1974;1921867
ou_vinho_leve;vinho leve;1974;0
ou_vinho_gaseificado;vinho gaseificado;1974;0
vinho de mesa;vinho de mesa;1975;108031792
vm_tinto;tinto;1975;91528090
vm_rosado;rosado;1975;7261777
vm_branco;branco;1975;9241925
vinho  fino de mesa;vinho  fino de mesa;1975;8848303
vm_tinto;tinto;1975;2050960
vm_rosado;rosado;1975;2130619
vm_branco;branco;1975;4666724
vinho frizante;vinho frizante;1975;301293
vinho orgânico;vinho orgânico;1975;0
vinho especial;vinho especial;1975;10260445
ve_tinto;tinto;1975;4815235
ve_rosado;rosado;1975;2885972
ve_branco;branco;1975;2559238
espumantes;espumantes;1975;3691348
es_espumante_moscatel;espumante  moscatel;1975;0
es_espumante;espumante;1975;0
es_espumante orgânico;espumante orgânico;1975;0
suco de uvas;suco de uvas;1975;5802187
su_suco_natural;suco natural integral;1975;0
su_suco_reprocessado;suco reprocessado/reconstituido;1975;0
su_suco_orgânico;suco orgânico;1975;0
su_outros_sucos;outros sucos de uvas;1975;0
suco de uvas concentrado;suco de uvas concentrado;1975;768401
outros produtos comercializados;outros produtos comercializados;1975;23102540
ou_outros vinhos (sem informdetalhada;outros vinhos (sem informação detalhada);1975;0
ou_agrin;agrin (fermentado, acetico misto);1975;0
ou_aguardente;aguardente de vinho 50°gl;1975;0
ou_alcool_vinico;alcool vinico;1975;0
ou_bagaceira;bagaceira (graspa);1975;706946
ou_base_champenoise;base champenoise champanha;1975;0
ou_base_charmat;base charmat champanha;1975;0
ou_base_espumante;base espumante moscatel;1975;0
ou_bebida;bebida de uva;1975;0
ou_borra_liqwuida;borra líquida;1975;0
ou_borra_seca;borra seca;1975;0
ou_brandy;brandy (conhaque);1975;11418527
ou_cooler;cooler;1975;0
ou_coquetel;coquetel com vinho;1975;0
ou_destilado;destilado de vinho;1975;1793135
ou_filtrado_doce;filtrado doce;1975;1353194
ou_jeropiga;jeropiga;1975;0
ou_mistelas;mistelas;1975;272141
ou_mosto_concentrado;mosto concentrado;1975;251197
ou_mosto_uva;mosto de uva;1975;0
ou_mosto_sulfitado;mosto sulfitado;1975;34300
ou_nectar;nectar de uva;1975;0
ou_outros_produtos;outros produtos;1975;0
ou_polpa;polpa de uva;1975;0
ou_preparado_líquido;preparado líquido para refresco;1975;0
ou_refrigerante;refrigerante +50% suco;1975;0
ou_sangria;sangria;1975;0
ou_vinagre_balsamico;vinagre balsamico;1975;0
ou_vinagre_duplo;vinagre duplo;1975;0
ou_vinagre_simples;vinagre simples;1975;1574960
ou_vinho_acetificado;vinho acetificado;1975;0
ou_vinho_base;vinho base para espumantes;1975;0
ou_vinho_composto;vinho composto;1975;3493104
ou_vinho_licoroso;vinho licoroso;1975;2205036
ou_vinho_leve;vinho leve;1975;0
ou_vinho_gaseificado;vinho gaseificado;1975;0
